Pergunta;Opções;Resposta;Fonte
You work for an electric engine manufacturer as a Power BI admin. You have two colleagues, Ray and Jane, who need access to your workspace. Ray will need to publish, unpublish, and change permissions for the apps. Jane needs to be able to publish reports to the workspace and delete content. What workspace roles should Ray and Jane be assigned?;A. Ray = Member / Jane = Contributor | B. Ray = Admin / Jane = Member | C. Ray = Member / Jane = Viewer | D. Ray = Member / Jane = Member;"A
E";Certspilot.pdf
Your company uses a transport provider that charges freight costs and fuel surcharge costs as per the below exhibit for the Transport table. How would you create a measure for the row-level average of the sum of freight and surcharge? www.dumpsgate.com Questions and Answers PDF 73/101;A. AVERAGE( Transport, Transport[Freight ($)] + Transport[Surcharge ($)]) | B. SUMX(Transport, Transport[Freight ($)] + Transport[Surcharge ($)]) | C. AVERAGEA( Transport, Transport[Freight ($)]) | D. AVERAGEX( Transport, Transport[Freight ($)] + Transport[Surcharge ($)]);"D
E";Certspilot.pdf
You are checking your data for errors and want to see the average and standard deviation for a column. What data quality option should you use?;A. Column quality | B. Column distribution | C. Column profile | D. Monospaced;"C
E";Certspilot.pdf
You are the Power BI admin at your company. You have assigned a colleague as a member role in your workspace. www.dumpsgate.com Questions and Answers PDF 74/101 What roles can she NOT perform?;A. Update an app | B. Manage dataset permissions | C. Update and delete the workspace | D. Allow others to reshare items;"C
E";Certspilot.pdf
You work in a warehouse for a large eCommerce company. You have a Power BI Premium dashboard of the key logistics metrics called daily shipments. You would like to receive a daily snapshot by email of the daily shipments dashboard. How can you achieve this goal?;A. Integrate the dashboard to Power BI Desktop | B. Ask the admin to add you as a contributor to the workspace | C. Subscribe to the dashboard | D. Turn on notifications on your instance of Power BI Service;"C
E";Certspilot.pdf
You are in Power Query Editor, and you see the below view across multiple columns. What data profile tool shows the image in the red box? www.dumpsgate.com Questions and Answers PDF 75/101;A. Column distribution | B. Column quality | C. Column histogram | D. Column profile;"A
E";Certspilot.pdf
You have two tables named Invoice and Geo that are connected through an active relationship using the GeoID field. You need to be able to filter the data from both the Geo table and from the Invoice table. I.e. you need the Invoice table filtered by Geo and the Geo table filtered by Invoice type. You have configured row-level security (RLS) so that Geographic leaders can only see the invoices from their region. You are having difficulty getting RLS working for the relationship between the Geo and Invoices. Which TWO actions should you perform to resolve this issue?;A. In the relationship view, set the cross filter direction to Single | B. In the relationship view, check apply security filter in both directions | C. In the relationship view, set the cross filter direction to Both | D. In the relationship view, uncheck make this relationship active;"B,C
E";Certspilot.pdf
You have four different data types and sizes. Select which file / files CAN be imported into Power BI Service without Premium capacity. www.dumpsgate.com Questions and Answers PDF 76/101;A. json – 200 MB | B. csv – 1.5 GB | C. txt – 500 MB | D. xlsx – 2.1GB;"A,C
E";Certspilot.pdf
Your company plans to use dataflows to process the data stored in the Common Data Service to prepare for Power BI reports and Dashboards. Where should you store the dataflows?;A. Common Data Model folder | B. Azure Data Lake Gen2 | C. Sharepoint | D. Azure SQL Server;"B
E";Certspilot.pdf
You are a Power BI User Admin. Which TWO tasks can you perform?;A. Manage subscriptions | B. Create and manage users and groups | C. Enable and disable Power BI features | D. Reset user passwords;B,D;Certspilot.pdf
You want to share a dashboard with external guest users from another business. How would you share content with external users?;A. Invite external guests through the Azure Active Directory B2B | B. Click share directly from the dashboard | C. Go to the Power BI admin tenant setting and add the emails for the external users | D. Modify the workspace permissions to allow for the external users;"A
E";Certspilot.pdf
You think that a decomposition tree may be useful for your analysis. What TWO things does a decomposition tree do?;A. Conduct root cause analysis | B. Segments that contribute to the selected metric value | C. Visualize data across multiple dimensions | D. Contrast the relative importance of factors;"A,C
E";Certspilot.pdf
You have an Inventory table and a Date table (see exhibit below) and need to calculate a semi-additive measure for the closing inventory value. How would you complete the below the [VALUE] field in the DAX expression? Last Inventory Level = www.dumpsgate.com Questions and Answers PDF 78/101 CALCULATE ( SUM ( Inventory[Quantity] ), [VALUE] ( [VALUE]) );A. MAX / Date[Date] | B. LASTDATE / Inventory[MovementDate] | C. LASTNONBLANK / Inventory[MovementDate] | D. LASTDATE / Date[Date];"B
E";Certspilot.pdf
You work for a Bike company and create a report of Sales and Category. You build a measure for the Sales % of Categories and want to add conditional formatting such that the colors for low values are red, center values are orange and high values are green. How would you achieve this goal? www.dumpsgate.com Questions and Answers PDF 79/101;A. Use conditional formatting with a Color scale using default settings | B. Use conditional formatting with Rules | C. Use conditional formatting with a Color scale and check the diverging setting | D. Use conditional formatting with Field values;"C
E";Certspilot.pdf
You are working on a fast moving R&D project for an autonomous vehicle company. You create a dashboard but find that management wants you to make quick changes to both content and layout that they can see immediately on the dashboard. Management is only comfortable using a dashboard. What should you do to achieve this goal?;A. Create an app | B. Add management to the workspace as viewer roles | C. Create a refresh schedule for twice a day | D. Pin the report as a live page;"D
E";Certspilot.pdf
You have worked hard to create a clean dataset of all your company's customer details, including address and geocode. The Senior Director in your division has asked that all people within your company are aware of the high-quality, authoritative customer dataset that meets all the company's standards. How can you achieve this goal?;A. Select Promote content | B. Ask authorized reviewers to Certify your content | C. Select Featured content on home | D. Create a new workspace with the high-quality data and add the entire company as members;"B
E";Certspilot.pdf
You have a time series chart for your sales and you need to display a line to show the direction the data has moved over your selected period. How would you add this black dotted line? See the exhibit below. www.dumpsgate.com Questions and Answers PDF 81/101;A. Add an Average line in the Analytics pane | B. Add a Trend line in the Analytics pane | C. Add a Forecast line in the Analytics pane | D. Add a Play Axis to the visual;"B
E";Certspilot.pdf
Your company is considering Power BI Report Server and you are asked if certain features are available. Which of the following three features are NOT available in Power BI Report Server?;A. Dashboards | B. Paginated reports | C. Q&A | D. Quick insights | E. Row-level security (RLS);"A,C,D
E";Certspilot.pdf
You work at a bike company and have two tables that use DirectQuery - Product and Category (see the below exhibit.) These two tables are joined with a relationship from Product to Category using the CategoryID column. To increase the efficiency in your join you decide to check 'Assume referential integrity' in the relationship. Will this help the join between your tables? www.dumpsgate.com Questions and Answers PDF 83/101;A. Yes | B. No;"B
E";Certspilot.pdf
You are designing a data model and have a Date table and a Sales table as per the below exhibit. You create an active relationship between Date[Date] and Sales[Delivery Date]. You also create an inactive relationship between Date[Date] and Sales[Order Date]. How would you create a measure with the inactive Order Date by filling in the correct DAX function in [VALUE]? CALCULATE ( [Sales Amount], [VALUE] ( Sales[Delivery Date], 'Date'[Date] ) );A. VALUES | B. SELECTCOLUMNS | C. RELATED | D. USERELATIONSHIP;"D
E";Certspilot.pdf
You are a Power BI consultant and you are doing some remote work for a mining company in Western Australia. You need to build a date table that starts from November 2010 and ends in December 2025. You decide you will use DAX to create a table. How should you create the DAX expression?;A. DATE ( 2010/11/1, 2025/12/31) | B. CALCULATE( CALENDAR(' 2010/11/1', '2025/12/31') ) | C. CALENDAR( DATE(2010,11,1), DATE(2025,12,31) ) | D. CALENDAR( 2010/11/1, 2025/12/31);"C
E";Certspilot.pdf
You import a TXT file that contains package delivery times. The format in the DeliveryDate column is in datetime format. For example, the first row is 2022-03-20 0831 EST. You want to analyze the dates, but you are not interested in the time stamp. How could you easily extract the date into a new column?;A. Use the TRIM function in a new column, then set the data type to Date | B. Use the VALUE function in a new column, then set the data type to Date | C. Add a Column by example and type 2022-03-20, then set the data type to Date | D. Use the CONCATENATE function in a new column, then set the data type to Date;"C
E";Certspilot.pdf
You work for an established mobile App game company, and you have a large dataset for in-app purchases. The dataset contains over 300k rows. What visual should you use to identify outliers in the data?;A. Key influencers | B. Decomposition tree | C. Scatter | D. Area;"C
E";Certspilot.pdf
One of your queries in Power Query Editor seems to be taking a lot longer to refresh than you expect. You need to understand what Power Query is doing at authoring and at refresh time. How would you go about this?;A. Run Performance Analyzer | B. Run Q&A | C. Run Query Diagnostics | D. Run the ALM toolkit;"C
E";Certspilot.pdf
You have created a supplier quality report and are asked to add row-level security to your data model. You decide to add dynamic row-level security that uses a user's email address. You have a column for a user's email address called UserEmail. What DAX function would you use to create a new role using the UserEmail field?;A. USEROBJECTID | B. USERPRINCIPALNAME | C. PATH | D. USERDOMAIN;"B
E";Certspilot.pdf
You work for a bank and have a large dataset for credit card transactions for a city. The data is in a Microsoft SQL Server database and has over 15 million rows. Before you use the dataset, you want to import a sample of the credit card data. How could you achieve this goal?;A. Import all the data and then add a filter to the data | B. Add a WHERE clause to SQL statement in the advanced options | C. Change the data connectivity option to TOPN | D. Check HEAD to sample data from the advanced options;"B
E";Certspilot.pdf
You have a slicer for categories in a vertical list. How can you get the same slicer into a horizontal list of buttons that automatically adapts to size changes, as per the below exhibit? www.dumpsgate.com Questions and Answers PDF 87/101;A. Add individual buttons and assign actions to each | B. Create several images and assign a bookmark | C. Change the orientation to Horizontal and toggle Responsive on | D. Change the orientation to Horizontal and change the background color;"C
E";Certspilot.pdf
You have a customer service database that has a feedback score from 1 to 5. You create a dashboard with a card visual for the daily feedback score average. The CEO wants to receive an alert if the average score falls below 3.5. How can he achieve this?;A. Write a custom script in R | B. Create a subscription | C. Create a data alert | D. In the tenant settings, add an email for service notifications;"C
E";Certspilot.pdf
CASE 1 You have built a report with many pages for a manufacturing company. Your client's feedback is that it is hard to navigate to the important pages of the report. You suggest creating a homepage with links to help guide users to important pages on the report. How would you go about building the homepage? Solution: · Add pictures that describe the report page · Set the image action type to 'Q&;A. Yes | B. No;"B
E";Certspilot.pdf
CASE 1 You have built a report with many pages for a manufacturing company. Your client's feedback is that it is hard to navigate to the important pages of the report. You suggest creating a homepage with links to help guide users to important pages on the report. How would you go about building the homepage? Solution: · Create a bookmark for each page · On the homepage, create buttons to link to those pages · On the button, change the action type to bookmark for the corresponding page Can this technique be used for the homepage?;A. Yes | B. No;"A
E";Certspilot.pdf
CASE 1 You have built a report with many pages for a manufacturing company. Your client's feedback is that it is hard to navigate to the important pages of the report. You suggest creating a homepage with links to help guide users to important pages on the report. How would you go about building the homepage? Solution: · Create shapes e.g. square, circle · Assign the shape's action to page navigation Can this technique be used for the homepage?;A. Yes | B. No;"A
E";Certspilot.pdf
CASE 2 You have a dataset for a market basket analysis as per the below exhibit. Each row represents a transaction, and each column contains an item purchased. For instance, in TransactionID 8 there are 3 products: Product1 = 'peanut butter', Product2 = frozen pizza' and Product3 =' ice cream'. www.dumpsgate.com Questions and Answers PDF 89/101 You need to transform your data into the below exhibit. The first column is TransactionID, the second is Attribute and the third column is Value. How would you transform the data into these 3 columns?;A. Select all columns -> Pivot columns | B. Select TransactionID -> Select Pivot columns | C. Select all columns -> Select Unpivot columns | D. Select TransactionID -> Select Unpivot other columns;"D
E";Certspilot.pdf
"CASE 2 For your Market Basket Analysis, you now need to create a new table with all possible combinations of products as per the below exhibit. What DAX function would you use in the [VALUE] position in the expression? Basket Analysis = FILTER( [VALUE] ( VALUES('MarketBasket'[Value]), SELECTCOLUMNS(VALUES(MarketBasket[Value]),""Value2"", [Value]) ), [Value]>[Value2] )";A. INTERSECT | B. EXCEPT | C. SUMMARIZE | D. CROSSJOIN;"D
E";Certspilot.pdf
www.dumpsgate.com Questions and Answers PDF 91/101 CASE 2 You want to use a custom network chart to display your market basket analysis called 'Network and add the Advanced Network Visual.' However, your company policy is to not allow custom visuals as a default. How could you enable this specific custom visual?;A. Temporarily allow all visuals | B. Add to organizational visuals | C. Reproduce the visual in R or Python | D. Place a request to Microsoft to add the custom visual to the standard charts;"B
E";Certspilot.pdf
CASE 3 You are a Supply Chain analytics manager and have data on customer fill rates. A fill rate is a KPI of the fraction of customer demand that is met through immediate stock availability. See the below exhibit for a sample of the 'FillRate' table. You need to restrict a visual to show the bottom 5 customers with the lowest fill rates. Solution: Create a measure of the bottom five customers using the TOPN function. Does this solution meet your goal? www.dumpsgate.com Questions and Answers PDF 92/101;A. Yes | B. No;"A
E";Certspilot.pdf
CASE 3 You are a Supply Chain analytics manager and have data on customer fill rates. A fill rate is a KPI of the fraction of customer demand that is met through immediate stock availability. See the below exhibit for a sample of the 'FillRate' table. You need to restrict a visual to show the bottom 5 customers with the lowest fill rates. Solution: Create a measure of the bottom five customers using the RANKX function. Does this solution meet your goal?;A. Yes | B. No;"A
E";Certspilot.pdf
CASE 3 You are a Supply Chain analytics manager and have data on customer fill rates. A fill rate is a KPI of the fraction of customer demand that is met through immediate stock availability. See the below exhibit for a sample of the 'FillRate' table. You need to restrict a visual to show the bottom 5 customers with the lowest fill rates. Solution: Apply a Basic Filter on the visual (Visual level filter) Does this solution meet your goal?;A. Yes | B. No;"B
E";Certspilot.pdf
You have a dashboard that is an important part of collaborative planning in your organization. Since the team is remote, you have been asked to allow users to provide feedback on the dashboard that will be visible to other team members. How would you achieve this goal?;A. Add sticky notes | B. Add comments | C. Add to group email | D. Add to alerts;"B
E";Certspilot.pdf
You have an HR dataset divided into regions. You use row-level security to ensure each manager can only see their region's data. After you publish your report to Power BI Service, an HR manager calls and complains they cannot see all their data in the APAC region. How would you verify what the HR manager is seeing in Power BI Desktop?;A. Validate the HR manager's role using 'View as' and select the region | B. Use Track user activities | C. Remove the HR manager from the role and re-assign | D. Send the user your Power BI Desktop file;"A
E";Certspilot.pdf
Your company has a Microsoft SharePoint site with all your manufacturing Bill of Materials (BOM) files in a subfolder. These files are all stores as Excel documents and have the same schema. As part of your analysis for the procurement team, you need to load all the Bill of Materials files together into a table in Power BI for analysis. You also need to edit some of the columns after the data has been loaded. How would you achieve this goal?;A. From Get data, select SharePoint folder, enter the URL and click import | B. From Get data, select SharePoint folder, enter the URL, navigate to the specific folder and Combine | C. From Get data, enter the URL, select SharePoint folder and navigate to the specific folder | D. From Get data, select SharePoint folder, navigate to the specific folder, select import or DirectQuery | E. Explanation: The steps to load a set of files from SharePoint with the same schema is:;B;Certspilot.pdf
You have a Date table with a date field called Date. You want to create a new column with the full month name and the year e.g. 03 October 2022. How would you create this DAX expression?;"A. FORMAT(Date[Date], ""D M Y"") | B. FORMAT(Date[Date], ""D MM YYYY"") | C. FORMAT(Date[Date], ""DD MMM YYYY"") | D. FORMAT(Date[Date], ""DD MMMM YYYY"") | E. Explanation: A “DD” will give a date field with a zero such as 03. A “MMMM” will give the full month";D;Certspilot.pdf
You have sales data for a bike company and you calculate a measure of the sales percentage within each category. You need to format the visualization to match the one shown in the exhibit. How should you configure the visual? www.dumpsgate.com Questions and Answers PDF 96/101;A. In conditional formatting select 'Sales % Category' and turn on background color | B. In conditional formatting select 'Sales Total' and turn on data bars | C. In conditional formatting select 'Sales % Category' and turn on data bars | D. In conditional formatting select 'Sales Total' and turn on background color;"C
E";Certspilot.pdf
You work for an airline company and have a dataset with a DirectQuery storage mode. You have built a report with several visuals on the page. Users complain of performance issues when using the visuals in the Power BI report. How would you optimize the report?;A. Under relationships, turn off security filters in both directions | B. Switch off single select under slicers | C. Switch off interactions between visuals | D. Remove any background images;"C
E";Certspilot.pdf
What data preview type would give you the below exhibit when you click on the Standard cost column?;A. Column quality | B. Monospaced | C. Column distribution | D. Column profile;"D
E";Certspilot.pdf
Your company is looking to expand your Power BI resources. Some of the feedback from your team is that it is hard to test Power BI Service dashboards fully prior to release. Is there a better way to handle the lifecycle of your Power BI report and dashboard creation? What is the best solution to achieve this goal?;A. Install Power BI Report server to test reports | B. Create a deployment pipeline across development, test and production stages | C. Create separate workspaces for your team across the reporting lifecycle | D. Change to paginated reports for your reporting lifecycle;"B
E";Certspilot.pdf
You have a product table, as per the below exhibit. You need to convert the Standard Cost column from a decimal number to currency. How would use achieve this using M code by replacing the below [VALUE] fields?;"A. =Table.[VALUE] (#""Promoted Headers"",{ {""ProductKey"", Int64.Type}, {""Product"", type text}, | B. C. TransformColumnNames / type decimal | D. TransformColumnNames / type number | E. TransformColumnTypes / Currency.Type";"E
E";Certspilot.pdf
You work for a cryptocurrency exchange and have a report of crypto transactions showing monthly trends. Your crypto transaction table has over 60 million rows. You need to optimize the report's performance. Which TWO actions should you perform?;A. Set the storage mode on the crypto transaction table to Import | B. Set the storage mode on the crypto transaction table to DirectQuery | C. Create a summary table in the data source with the transactions grouped by month | D. Limit visuals to bar and line charts;"B,C
E";Certspilot.pdf
You work for a sports company, and you build a Power BI data set with row-level security in the data model. The company is divided into three categories: footwear, apparel and equipment. In Power BI desktop, you create roles for each category and you add a DAX filter expression for each role on the product table. You add the Azure Active Directory security group for the category to each role. A new user starts in the equipment category. What is the best practice to ensure that the new user can only view equipment data?;A. Add the user to the Azure Active Directory for the Equipment Category | B. In Power BI Desktop, change the DAX filter for the role for the Equipment category | C. In Power BI Service, add the new user's email address to the Equipment category | D. Add the user's email to the workspace and change the role to a member;"A
E";Certspilot.pdf
You lead a Power BI team for a turbine manufacturer. Your boss has asked your team to develop a custom 'pbiviz' visual in Power BI that shades the turbine areas according to the number of defects. Before you put together a team to develop the custom visual, you look into the steps to develop a custom visual to understand the skills required. When setting up an environment for developing a Power BI visual, what software do you first need to install?;A. C++ | B. node.js | C. python | D. R | E. Explanation: To develop pbiviz files, you need to install node.js, a framework designed to build;B;Certspilot.pdf
You have recently set up Power BI Service at your company. One of the senior managers expresses concern about publishing reports to the web with sensitive data. What can you do to prevent users from publishing content on the web?;A. In the Admin portal, go to tenant settings and disable 'Allow content sharing with external users' | B. In the Admin portal, go to tenant settings and disable 'Publish to web' | C. In the Admin portal, disable 'Allow URL links' | D. In the Admin portal, enable 'Block embedded links';"B
E";Certspilot.pdf
www.dumpsgate.com Questions and Answers PDF 101/101 You insert a product table into your data model and you find that there are two text issues. 1. In the product description field, you need to make ALL characters lowercase 2. In the product model field, you need to remove trailing white spaces Which M code commands will help fix these issues?;A. Text.Lower / Text.Clean | B. Text.Proper / Text.Clean | C. Text.Lower / Text.Trim | D. Text.Proper / Text.Clean;"C
E";Certspilot.pdf
You need to create a calculated column to display the month based on the reporting requirements. Which DAX expression should you use?;"A. FORMAT('Date'[date], ""MMM YYYY"") | B. FORMAT('Date' [date], ""M YY"") | C. FORMAT('Date'[date_id], ""MMM"") & """" & FORMAT('Date'[year], ""#"") | D. FORMAT('Date' [date_id], ""MMM YYYY"")";;PL-300-Updated-Part-1.pdf
You need to create the required relationship for the executive's visual. What should you do before you can create the relationship?;A. Change the data type of Sales[region_id] to Whole Number. | B. In the Sales table, add a measure for sum(sales_amount). | C. Change the data type of sales[sales_id] to Text. | D. Change the data type of sales [region_id] to Decimal Number.;;PL-300-Updated-Part-1.pdf
What should you create to meet the reporting requirements of the sales department?;A. a measure that uses a formula of SUM (Sales [sales_id]) | B. a calculated column that use a formula of COUNTA(sales [sales_id]) | C. a measure that uses a formula of COUNTROWS (Sales) | D. a calculated column that uses a formula of SUM (Sales [sales_id]);;PL-300-Updated-Part-1.pdf
HOTSPOT You need to create a visualization to meet the reporting requirements of the sales managers. How should you create the visualization? To answer, select the appropriate options in the answer area. Scenario: The sales managers require a visual to analyze sales performance versus sales targets. Box 1: KPI A Key Performance Indicator (KPI) is a visual cue that communicates the amount of progress made toward a measurable goal.  Box 2: Sales[sales_amount] Box 3: Date[month] Time > FiscalMonth. This value will represent the trend. Box 4: Targets[sales_target] Reference: https://docs.microsoft.com/en-us/power-bi/visuals/power-bi-visualization-kpi;;;PL-300-Updated-Part-1.pdf
You need to provide a solution to provide the sales managers with the required access. What should you include in the solution?;A. Create a security role that has a table filter on the Sales_Manager table where | B. Create a security role that has a table filter on the Region_Manager table where | C. Create a security role that has a table filter on the Sales_Manager table where | D. Create a security role that has a table filter on the Sales_Manager table where;;PL-300-Updated-Part-1.pdf
You need to create relationships to meet the reporting requirements of the customer service department. What should you create?;A. an additional date table named ShipDate, a one-to-many relationship from | B. an additional date table named ShipDate, a many-to-many relationship from | C. a one-to-many relationship from Date[date_id] to Sales[sales_date_id] and another one-to-many | D. a one-to-many relationship from Sales[sales_date_id] to Date[date_id] and a one-to-many relationship | E. a one-to-many relationship from Date[date_id] to Sales[sales_date_id] and another one-to-many;"A
E";PL-300-Updated-Part-1.pdf
HOTSPOT You need to grant access to the business unit analysts. What should you configure? To answer, select the appropriate options in the answer area. NOTE: Each correct selection is worth one point. Explanation: Box 2: Build The analysts must be able to build new reports from the dataset that contains the profit and loss data. Scenario: The reports must be made available to the board from powerbi.com. The analysts responsible for each business unit must see all the data the board sees, except the profit and loss data, which must be restricted to only their business unit's dat a. The analysts must be able to build new reports from the dataset that contains the profit and loss data, but any reports that the analysts build must not be included in the quarterly reports for the board. The analysts must not be able to share the quarterly reports with anyone. Reference: https://www.nickyvv.com/2019/08/the-new-power-bi-workspace-viewer-role- explained.html;;;PL-300-Updated-Part-1.pdf
You need to recommend a strategy to consistently define the business unit, department, and product category data and make the data usable across reports. What should you recommend?;A. Create a shared dataset for each standardized entity. | B. Create dataflows for the standardized data and make the dataflows available for use in all imported | C. For every report, create and use a single shared dataset that contains the standardized data. | D. For the three entities, create exports of the data from the Power Bl model to Excel and store the data;B;PL-300-Updated-Part-1.pdf
DRAG DROP Once the profit and loss dataset is created, which four actions should you perform in sequence to ensure that the business unit analysts see the appropriate profit and loss data? To answer, move the appropriate actions from the list of actions to the answer area and arrange them in the correct order.  1 4 2 4 3 3 2 5 1 4 2 3 5;;E;PL-300-Updated-Part-1.pdf
What is the minimum number of datasets and storage modes required to support the reports?;A. two imported datasets | B. a single DirectQuery dataset | C. two DirectQuery datasets | D. a single imported dataset;;PL-300-Updated-Part-1.pdf
Which DAX expression should you use to get the ending balances in the balance sheet reports?;A. CALCULATE ( | B. CALCULATE ( | C. FIRSTNONBLANK ( 'Date' [Date] | D. CALCULATE (;;PL-300-Updated-Part-1.pdf
Note: This question is part of a series of questions that present the same scenario. Each question in the series contains a unique solution that might meet the stated goals. Some question sets might have more than one correct solution, while others might not have a correct solution. After you answer a question in this section, you will NOT be able to return to it. As a result, these questions will not appear in the review screen. You are modeling data by using Microsoft Power Bl. Part of the data model is a large Microsoft SQL Server table named Order that has more than 100 million records. During the development process, you need to import a sample of the data from the Order table.  Solution: You add a WHERE clause to the SQL statement. Does this meet the goal?;A. Yes | B. No;;PL-300-Updated-Part-1.pdf
Note: This question is part of a series of questions that present the same scenario. Each question in the series contains a unique solution that might meet the stated goals. Some question sets might have more than one correct solution, while others might not have a correct solution. After you answer a question in this section, you will NOT be able to return to it. As a result, these questions will not appear in the review screen. You are modeling data by using Microsoft Power Bl. Part of the data model is a large Microsoft SQL Server table named Order that has more than 100 million records. During the development process, you need to import a sample of the data from the Order table. Solution: You write a DAX expression that uses the FILTER function. Does this meet the goal?;A. Yes | B. No;;PL-300-Updated-Part-1.pdf
Note: This question is part of a series of questions that present the same scenario. Each question in the series contains a unique solution that might meet the stated goals. Some question sets might have more than one correct solution, while others might not have a correct solution. After you answer a question in this section, you will NOT be able to return to it. As a result, these questions will not appear in the review screen. You are modeling data by using Microsoft Power Bl. Part of the data model is a large Microsoft SQL Server table named Order that has more than 100 million records. During the development process, you need to import a sample of the data from the Order table. Solution: You add a report-level filter that filters based on the order date. Does this meet the goal?;A. Yes | B. No;;PL-300-Updated-Part-1.pdf
You have the visual shown in the Original exhibit. { Click the Original tab.) You need to configure the visual as shown in the Modified exhibit. (Click the Modified tab.) What should you add to the visual?;A. a measure | B. a trendline | C. a forecast | D. an Average line;"C
E";PL-300-Updated-Part-1.pdf
You plan to create the chart shown in the following exhibit. How should you create the dashed horizontal line denoting the 40th percentile of daily sales for the period shown?;A. Create a horizontal line that has a fixed value of 24,000. | B. Add a measure to the visual that uses the following DAX expression. | C. Add a new percentile line that uses Total Sales as the measure and 40% as the percentile. | D. Add a measure to the visual that uses the following DAX expression.;"C
E";PL-300-Updated-Part-1.pdf
You have a collection of reports for the HR department of your company. You need to create a visualization for the HR department that shows a historic employee counts and predicts trends during the next six months. Which type of visualization should you use?;A. scatter chart | B. ribbon chart | C. line chart | D. key influences;"C
E";PL-300-Updated-Part-1.pdf
You have the visual shown in the exhibit. (Click the Exhibit tab.)  You need to show the relationship between Total Cost and Total Sales over time. What should you do?;A. Add a play axis. | B. Add a slicer for the year. | C. From the Analytics pane, add an Average line. | D. Create a DAX measure that calculates year-over-year growth.;"A
E";PL-300-Updated-Part-1.pdf
HOTSPOT  You need to create a visual as shown in the following exhibit. The indicator color for Total Sales will be based on % Growth to Last Year. The solution must use the existing calculations only. How should you configure the visual? To answer, select the appropriate options in the answer area. NOTE: Each correct selection is worth one point.;;E;PL-300-Updated-Part-1.pdf
You build a report to analyze customer transactions from a database that contains the tables shown in the following table. You import the tables. Which relationship should you use to link the tables?;A. one-to-many from Customer to Transaction | B. one-to-one between Customer and Transaction | C. one-to-many from Transaction to Customer | D. many-to-many between Customer and Transaction;"A
E";PL-300-Updated-Part-1.pdf
HOTSPOT You are creating an analytics report that will consume data from the tables shown in the following table.  There is a relationship between the tables. There are no reporting requirements on employeejd and employee_photo. You need to optimize the data model What should you configure for employeejd and employee.photo? To answer, select the appropriate options in the answer area.;;E;PL-300-Updated-Part-1.pdf
HOTSPOT You are creating a Microsoft Power Bl imported data model to perform basket analysis. The goal of the analysis is to identify which products are usually bought together in the same transaction across and within sales territories. You import a fact table named Sales as shown in the exhibit. (Click the Exhibit tab.)  The related dimension tables are imported into the model. For each of the following statements, select Yes if the statement is true. Otherwise, select No. NOTE: Each correct selection is worth one point.  Reference: https://finance-bi.com/power-bi-basket- analysis/;;;PL-300-Updated-Part-1.pdf
You have a Microsoft Power Bl report. The size of PBIX file is 550 MB. The report is accessed by using an App workspace in shared capacity of powerbi.com. The report uses an imported dataset that contains one fact table. The fact table contains 12 million rows. The dataset is scheduled to refresh twice a day at 08:00 and 17:00. The report is a single page that contains 15 custom visuals and 10 default visuals. Users say that the report is slow to load the visuals when they access and interact with the report You need to recommend a solution to improve the performance of the report. What should you recommend?;A. Split the visuals onto multiple pages. | B. Implement row-level security (RLS). | C. Replace the default visuals with custom visuals. | D. Increase the number of times that the dataset is refreshed.;;PL-300-Updated-Part-1.pdf
DRAG DROP You have a Microsoft Power Bl workspace. You need to grant the user capabilities shown in the following table. The solution must use the principle of least privilege. Which user role should you assign to each user? To answer, drag the appropriate roles to the correct users. Each role may be used once, more than once, or not at all. You may need to drag the split bar between panes or scroll to view content. NOTE: Each correct selection is worth one point.;;E;PL-300-Updated-Part-1.pdf
You have four sales regions. Each region has multiple sales managers. You implement row-level security (RLS) in a data model. You assign the relevant distribution lists to each role. You have sales reports that enable analysis by region. The sales managers can view the sales records of their region. The sales managers are prevented from viewing records from other regions. A sales manager changes to a different region. You need to ensure that the sales manager can see the correct sales data. What should you do?;A. From Microsoft Power Bl Desktop, edit the Row-Level Security setting for the reports. | B. Change the Microsoft Power Bl license type of the sales manager. | C. Manage the permissions of the underlying dataset | D. Request that the sales manager be added to the correct Azure Active Directory group.;"D
E";PL-300-Updated-Part-1.pdf
You have a collection of reports for the HR department of your company. The datasets use row-level security (RLS). The company has multiple sales regions that each has an HR manager. You need to ensure that the HR managers can interact with the data from their region only. The HR managers must be prevented from changing the layout of the reports. How should you provision access to the reports for the HR managers?;A. Create a new workspace, copy the datasets and reports, and add the HR managers as members of the | B. Publish the reports to a different workspace other than the one hosting the datasets. | C. Publish the reports in an app and grant the HR managers access permission. | D. Add the HR managers as members of the existing workspace that hosts the reports and the datasets.;"C
E";PL-300-Updated-Part-1.pdf
HOTSPOT You have a report page that contains the visuals shown in the following exhibit. Use the drop-down menus to select the answer choice that completes each statement based on the information presented in the graphic. NOTE: Each correct selection is worth one point.;;E;PL-300-Updated-Part-1.pdf
You have a Microsoft Power Bl dashboard. The report used to create the dashboard uses an imported dataset from a Microsoft SQL Server data source. The dashboard is shown in the exhibit. (Click the Exhibit tab.)  What occurred at 12:03:06 PM?;A. A user pressed F5 | B. A new transaction was added to the data source. | C. A user added a comment to a tile. | D. The dashboard tile cache refreshed.;"D
E";PL-300-Updated-Part-1.pdf
